,city,complaint_type,location_type
495,Far Rockaway,Sanitation Condition,Sidewalk
497,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
498,STATEN ISLAND,Fire Alarm - Reinspection,Street Address
499,BROOKLYN,Blocked Driveway,Street/Sidewalk
501,NEW YORK,Noise - Vehicle,Street/Sidewalk
502,BRONX,Blocked Driveway,Street/Sidewalk
503,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
504,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
505,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
506,Elmhurst,Sanitation Condition,Sidewalk
507,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
508,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
509,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
510,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
511,BROOKLYN,Blocked Driveway,Street/Sidewalk
512,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
513,BROOKLYN,UNSANITARY CONDITION,RESIDENTIAL BUILDING
514,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
515,BROOKLYN,UNSANITARY CONDITION,RESIDENTIAL BUILDING
516,BROOKLYN,SAFETY,RESIDENTIAL BUILDING
517,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
518,Middle Village,HEAT/HOT WATER,RESIDENTIAL BUILDING
519,Elmhurst,HEAT/HOT WATER,RESIDENTIAL BUILDING
520,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
521,Elmhurst,HEAT/HOT WATER,RESIDENTIAL BUILDING
522,Elmhurst,HEAT/HOT WATER,RESIDENTIAL BUILDING
524,Elmhurst,HEAT/HOT WATER,RESIDENTIAL BUILDING
525,Elmhurst,HEAT/HOT WATER,RESIDENTIAL BUILDING
526,Elmhurst,HEAT/HOT WATER,RESIDENTIAL BUILDING
527,Elmhurst,HEAT/HOT WATER,RESIDENTIAL BUILDING
528,Elmhurst,HEAT/HOT WATER,RESIDENTIAL BUILDING
529,Elmhurst,HEAT/HOT WATER,RESIDENTIAL BUILDING
530,RIDGEWOOD,Blocked Driveway,Street/Sidewalk
531,BRONX,Blocked Driveway,Street/Sidewalk
532,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
533,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
534,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
535,BROOKLYN,Rodent,Other (Explain Below)
536,Forest Hills,HEAT/HOT WATER,RESIDENTIAL BUILDING
537,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
538,Elmhurst,HEAT/HOT WATER,RESIDENTIAL BUILDING
539,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
540,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
542,BROOKLYN,Blocked Driveway,Street/Sidewalk
543,BROOKLYN,Illegal Parking,Street/Sidewalk
544,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
545,BROOKLYN,Blocked Driveway,Street/Sidewalk
546,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
547,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
549,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
550,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
551,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
552,BROOKLYN,Blocked Driveway,Street/Sidewalk
555,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
556,BROOKLYN,Illegal Parking,Street/Sidewalk
557,BROOKLYN,Illegal Parking,Street/Sidewalk
558,FRESH MEADOWS,Blocked Driveway,Street/Sidewalk
559,NEW YORK,DOOR/WINDOW,RESIDENTIAL BUILDING
560,BROOKLYN,Blocked Driveway,Street/Sidewalk
561,NEW YORK,Noise - Commercial,Store/Commercial
562,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
563,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
564,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
565,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
566,BROOKLYN,Noise - Vehicle,Street/Sidewalk
567,BROOKLYN,Illegal Parking,Street/Sidewalk
569,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
570,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
571,BRONX,PAINT/PLASTER,RESIDENTIAL BUILDING
572,BRONX,APPLIANCE,RESIDENTIAL BUILDING
573,BRONX,ELECTRIC,RESIDENTIAL BUILDING
574,BRONX,PLUMBING,RESIDENTIAL BUILDING
575,BRONX,APPLIANCE,RESIDENTIAL BUILDING
576,BROOKLYN,APPLIANCE,RESIDENTIAL BUILDING
577,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
578,NEW YORK,Blocked Driveway,Street/Sidewalk
579,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
580,BROOKLYN,Blocked Driveway,Street/Sidewalk
581,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
582,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
583,BROOKLYN,Overgrown Tree/Branches,Street
584,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
585,NEW YORK,UNSANITARY CONDITION,RESIDENTIAL BUILDING
586,NEW YORK,FLOORING/STAIRS,RESIDENTIAL BUILDING
587,NEW YORK,UNSANITARY CONDITION,RESIDENTIAL BUILDING
588,NEW YORK,FLOORING/STAIRS,RESIDENTIAL BUILDING
589,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
590,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
591,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
592,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
593,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
594,NEW YORK,UNSANITARY CONDITION,RESIDENTIAL BUILDING
595,STATEN ISLAND,PLUMBING,RESIDENTIAL BUILDING
596,STATEN ISLAND,PLUMBING,RESIDENTIAL BUILDING
597,NEW YORK,Blocked Driveway,Street/Sidewalk
598,BROOKLYN,Noise - Commercial,Club/Bar/Restaurant
600,BROOKLYN,Blocked Driveway,Street/Sidewalk
601,BROOKLYN,Noise - Commercial,Store/Commercial
602,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
603,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
604,NEW YORK,Rodent,3+ Family Apt. Building
605,BROOKLYN,Blocked Driveway,Street/Sidewalk
606,BRONX,Blocked Driveway,Street/Sidewalk
607,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
608,BROOKLYN,Illegal Parking,Street/Sidewalk
609,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
610,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
611,BROOKLYN,DOOR/WINDOW,RESIDENTIAL BUILDING
612,Hollis,HEAT/HOT WATER,RESIDENTIAL BUILDING
613,WHITESTONE,Illegal Parking,Street/Sidewalk
614,Corona,ELECTRIC,RESIDENTIAL BUILDING
615,STATEN ISLAND,Illegal Parking,Street/Sidewalk
616,BROOKLYN,Noise - Vehicle,Street/Sidewalk
617,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
618,BRONX,ELECTRIC,RESIDENTIAL BUILDING
619,FLUSHING,Blocked Driveway,Street/Sidewalk
620,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
621,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
622,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
623,BROOKLYN,Blocked Driveway,Street/Sidewalk
624,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
625,JACKSON HEIGHTS,Blocked Driveway,Street/Sidewalk
626,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
627,BROOKLYN,Animal Facility - No Permit,Kennel/Animal Shelter
628,STATEN ISLAND,HEAT/HOT WATER,RESIDENTIAL BUILDING
629,Jackson Heights,HEAT/HOT WATER,RESIDENTIAL BUILDING
630,STATEN ISLAND,Sanitation Condition,Street
632,BRONX,ELECTRIC,RESIDENTIAL BUILDING
633,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
634,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
636,OAKLAND GARDENS,Illegal Parking,Street/Sidewalk
637,STATEN ISLAND,HEAT/HOT WATER,RESIDENTIAL BUILDING
638,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
639,East Elmhurst,HEAT/HOT WATER,RESIDENTIAL BUILDING
640,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
642,NEW YORK,PAINT/PLASTER,RESIDENTIAL BUILDING
643,NEW YORK,ELECTRIC,RESIDENTIAL BUILDING
644,NEW YORK,SAFETY,RESIDENTIAL BUILDING
645,NEW YORK,PLUMBING,RESIDENTIAL BUILDING
646,NEW YORK,FLOORING/STAIRS,RESIDENTIAL BUILDING
647,NEW YORK,UNSANITARY CONDITION,RESIDENTIAL BUILDING
648,NEW YORK,SAFETY,RESIDENTIAL BUILDING
649,BROOKLYN,Noise - Commercial,Store/Commercial
650,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
651,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
652,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
653,BROOKLYN,Illegal Parking,Street/Sidewalk
654,BROOKLYN,Dead Tree,Street
655,NEW YORK,Food Establishment,Restaurant/Bar/Deli/Bakery
656,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
657,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
658,BRONX,Noise - Street/Sidewalk,Street/Sidewalk
659,BRONX,DOOR/WINDOW,RESIDENTIAL BUILDING
661,STATEN ISLAND,Dirty Conditions,Sidewalk
662,Ridgewood,HEAT/HOT WATER,RESIDENTIAL BUILDING
663,BROOKLYN,Noise - Commercial,Store/Commercial
664,Middle Village,ELECTRIC,RESIDENTIAL BUILDING
665,BROOKLYN,Blocked Driveway,Street/Sidewalk
666,BROOKLYN,Illegal Parking,Street/Sidewalk
667,CORONA,Illegal Parking,Street/Sidewalk
669,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
670,BROOKLYN,Food Establishment,Restaurant/Bar/Deli/Bakery
671,BROOKLYN,Noise - Street/Sidewalk,Street/Sidewalk
672,NEW YORK,Food Establishment,Restaurant/Bar/Deli/Bakery
673,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
675,NEW YORK,Food Poisoning,Restaurant/Bar/Deli/Bakery
676,Woodside,PLUMBING,RESIDENTIAL BUILDING
677,Woodside,DOOR/WINDOW,RESIDENTIAL BUILDING
678,Woodside,PAINT/PLASTER,RESIDENTIAL BUILDING
679,Woodside,UNSANITARY CONDITION,RESIDENTIAL BUILDING
680,Woodside,PAINT/PLASTER,RESIDENTIAL BUILDING
681,Woodside,GENERAL,RESIDENTIAL BUILDING
682,BROOKLYN,Damaged Tree,Street
684,BROOKLYN,Illegal Parking,Street/Sidewalk
685,STATEN ISLAND,Dirty Conditions,Sidewalk
687,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
688,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
690,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
691,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
693,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
694,BROOKLYN,Illegal Parking,Street/Sidewalk
696,BRONX,UNSANITARY CONDITION,RESIDENTIAL BUILDING
697,BRONX,UNSANITARY CONDITION,RESIDENTIAL BUILDING
698,BRONX,PLUMBING,RESIDENTIAL BUILDING
699,BRONX,PLUMBING,RESIDENTIAL BUILDING
700,BRONX,UNSANITARY CONDITION,RESIDENTIAL BUILDING
701,BRONX,UNSANITARY CONDITION,RESIDENTIAL BUILDING
702,BRONX,Blocked Driveway,Street/Sidewalk
703,NEW YORK,DOOR/WINDOW,RESIDENTIAL BUILDING
704,NEW YORK,DOOR/WINDOW,RESIDENTIAL BUILDING
705,WOODSIDE,Blocked Driveway,Street/Sidewalk
706,STATEN ISLAND,Dirty Conditions,Sidewalk
708,WOODHAVEN,Illegal Parking,Street/Sidewalk
709,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
710,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
712,BROOKLYN,For Hire Vehicle Complaint,Street
713,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
715,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
716,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
717,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
718,SOUTH RICHMOND HILL,Blocked Driveway,Street/Sidewalk
719,BROOKLYN,Food Poisoning,Restaurant/Bar/Deli/Bakery
720,BROOKLYN,Blocked Driveway,Street/Sidewalk
721,BROOKLYN,Illegal Parking,Street/Sidewalk
723,BRONX,DOOR/WINDOW,RESIDENTIAL BUILDING
724,BRONX,PLUMBING,RESIDENTIAL BUILDING
725,BRONX,ELECTRIC,RESIDENTIAL BUILDING
726,BRONX,DOOR/WINDOW,RESIDENTIAL BUILDING
727,BRONX,PLUMBING,RESIDENTIAL BUILDING
728,Jamaica,UNSANITARY CONDITION,RESIDENTIAL BUILDING
729,Jamaica,PAINT/PLASTER,RESIDENTIAL BUILDING
730,Jamaica,HEAT/HOT WATER,RESIDENTIAL BUILDING
731,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
732,BROOKLYN,Derelict Vehicles,Street
734,NEW YORK,Sanitation Condition,Street
735,NEW YORK,Taxi Complaint,Street
736,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
737,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
738,Oakland Gardens,Sanitation Condition,Street
739,Rockaway Park,HEAT/HOT WATER,RESIDENTIAL BUILDING
741,BROOKLYN,Indoor Air Quality,3+ Family Apartment Building
742,NEW YORK,Street Condition,Street
743,Rego Park,HEAT/HOT WATER,RESIDENTIAL BUILDING
744,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
745,ELMHURST,Blocked Driveway,Street/Sidewalk
747,EAST ELMHURST,Blocked Driveway,Street/Sidewalk
748,BROOKLYN,Street Condition,Street
749,ELMHURST,Illegal Parking,Street/Sidewalk
750,BRONX,Illegal Parking,Street/Sidewalk
751,STATEN ISLAND,Other Enforcement,Sidewalk
752,NEW YORK,Rodent,3+ Family Mixed Use Building
753,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
754,NEW YORK,Taxi Complaint,Street
755,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
756,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
759,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
761,NEW YORK,Rodent,3+ Family Apt. Building
762,WOODSIDE,Blocked Driveway,Street/Sidewalk
763,WOODHAVEN,Blocked Driveway,Street/Sidewalk
764,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
765,HOWARD BEACH,Blocked Driveway,Street/Sidewalk
766,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
767,NEW YORK,Blocked Driveway,Street/Sidewalk
768,Ozone Park,Sanitation Condition,Sidewalk
769,BROOKLYN,Illegal Parking,Street/Sidewalk
770,Astoria,HEAT/HOT WATER,RESIDENTIAL BUILDING
771,Rockaway Park,HEAT/HOT WATER,RESIDENTIAL BUILDING
772,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
773,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
775,STATEN ISLAND,Noise - Commercial,Club/Bar/Restaurant
776,Flushing,HEAT/HOT WATER,RESIDENTIAL BUILDING
777,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
778,WOODHAVEN,Blocked Driveway,Street/Sidewalk
779,BROOKLYN,Blocked Driveway,Street/Sidewalk
780,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
781,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
782,Rosedale,APPLIANCE,RESIDENTIAL BUILDING
783,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
784,BRONX,PLUMBING,RESIDENTIAL BUILDING
786,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
787,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
788,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
789,FOREST HILLS,Street Sign - Damaged,Street
790,LONG ISLAND CITY,Food Establishment,Restaurant/Bar/Deli/Bakery
791,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
792,Woodside,Derelict Vehicles,Street
793,ASTORIA,Bike/Roller/Skate Chronic,Street/Sidewalk
794,FOREST HILLS,Street Sign - Damaged,Street
795,FOREST HILLS,Street Condition,Street
796,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
797,NEW YORK,Noise - Vehicle,Street/Sidewalk
798,BROOKLYN,Illegal Parking,Street/Sidewalk
799,Rockaway Park,HEAT/HOT WATER,RESIDENTIAL BUILDING
800,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
801,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
802,NEW YORK,Illegal Parking,Street/Sidewalk
803,Jamaica,Sanitation Condition,Sidewalk
805,NEW YORK,Food Establishment,Restaurant/Bar/Deli/Bakery
806,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
807,RICHMOND HILL,Blocked Driveway,Street/Sidewalk
808,JAMAICA,Animal Abuse,Residential Building/House
809,NEW YORK,Illegal Parking,Street/Sidewalk
810,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
811,Rosedale,HEAT/HOT WATER,RESIDENTIAL BUILDING
812,CORONA,Blocked Driveway,Street/Sidewalk
813,Far Rockaway,HEAT/HOT WATER,RESIDENTIAL BUILDING
814,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
815,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
816,RIDGEWOOD,Blocked Driveway,Street/Sidewalk
817,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
818,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
819,Corona,HEAT/HOT WATER,RESIDENTIAL BUILDING
820,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
821,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
822,BRONX,Blocked Driveway,Street/Sidewalk
823,FAR ROCKAWAY,Sidewalk Condition,Sidewalk
824,BROOKLYN,Missed Collection (All Materials),Sidewalk
827,NEW YORK,Noise - Commercial,Store/Commercial
828,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
829,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
830,STATEN ISLAND,Blocked Driveway,Street/Sidewalk
831,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
832,Flushing,HEAT/HOT WATER,RESIDENTIAL BUILDING
833,RIDGEWOOD,Blocked Driveway,Street/Sidewalk
834,EAST ELMHURST,Blocked Driveway,Street/Sidewalk
835,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
836,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
837,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
839,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
840,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
841,Ozone Park,HEAT/HOT WATER,RESIDENTIAL BUILDING
842,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
843,BROOKLYN,Illegal Parking,Street/Sidewalk
844,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
845,ASTORIA,Derelict Vehicle,Street/Sidewalk
846,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
847,NEW YORK,PAINT/PLASTER,RESIDENTIAL BUILDING
848,NEW YORK,SAFETY,RESIDENTIAL BUILDING
849,NEW YORK,PLUMBING,RESIDENTIAL BUILDING
850,NEW YORK,PAINT/PLASTER,RESIDENTIAL BUILDING
851,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
852,NEW YORK,FLOORING/STAIRS,RESIDENTIAL BUILDING
853,NEW YORK,UNSANITARY CONDITION,RESIDENTIAL BUILDING
854,NEW YORK,PAINT/PLASTER,RESIDENTIAL BUILDING
855,NEW YORK,FLOORING/STAIRS,RESIDENTIAL BUILDING
856,NEW YORK,UNSANITARY CONDITION,RESIDENTIAL BUILDING
857,BROOKLYN,Blocked Driveway,Street/Sidewalk
858,NEW YORK,Illegal Parking,Street/Sidewalk
859,ELMHURST,Blocked Driveway,Street/Sidewalk
860,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
862,BROOKLYN,Illegal Parking,Street/Sidewalk
863,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
864,EAST ELMHURST,Traffic,Street/Sidewalk
865,WHITESTONE,Illegal Parking,Street/Sidewalk
866,Saint Albans,HEAT/HOT WATER,RESIDENTIAL BUILDING
867,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
868,BROOKLYN,Illegal Parking,Street/Sidewalk
869,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
870,RIDGEWOOD,Illegal Parking,Street/Sidewalk
872,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
873,BROOKLYN,Noise - Commercial,Store/Commercial
875,WOODHAVEN,Blocked Driveway,Street/Sidewalk
876,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
877,BROOKLYN,Illegal Parking,Street/Sidewalk
878,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
879,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
880,BRONX,PLUMBING,RESIDENTIAL BUILDING
881,BRONX,UNSANITARY CONDITION,RESIDENTIAL BUILDING
882,NEW YORK,Fire Safety Director - F58,Street Address
883,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
884,RIDGEWOOD,Blocked Driveway,Street/Sidewalk
885,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
886,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
887,BROOKLYN,Homeless Encampment,Street/Sidewalk
888,BRONX,Derelict Vehicle,Street/Sidewalk
890,BROOKLYN,Indoor Air Quality,3+ Family Apartment Building
891,JACKSON HEIGHTS,Food Establishment,Restaurant/Bar/Deli/Bakery
894,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
896,NEW YORK,Taxi Complaint,Street
897,Richmond Hill,HEAT/HOT WATER,RESIDENTIAL BUILDING
899,BROOKLYN,Noise - Commercial,Store/Commercial
900,NEW YORK,Street Condition,Street
901,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
902,NEW YORK,Blocked Driveway,Street/Sidewalk
903,FLUSHING,Blocked Driveway,Street/Sidewalk
904,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
905,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
906,BROOKLYN,Blocked Driveway,Street/Sidewalk
908,BROOKLYN,Noise - Commercial,Store/Commercial
909,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
910,NEW YORK,PAINT/PLASTER,RESIDENTIAL BUILDING
911,NEW YORK,DOOR/WINDOW,RESIDENTIAL BUILDING
912,NEW YORK,DOOR/WINDOW,RESIDENTIAL BUILDING
913,NEW YORK,PLUMBING,RESIDENTIAL BUILDING
914,NEW YORK,DOOR/WINDOW,RESIDENTIAL BUILDING
915,NEW YORK,DOOR/WINDOW,RESIDENTIAL BUILDING
916,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
917,BROOKLYN,UNSANITARY CONDITION,RESIDENTIAL BUILDING
918,BROOKLYN,UNSANITARY CONDITION,RESIDENTIAL BUILDING
919,QUEENS VILLAGE,Beach/Pool/Sauna Complaint,Pool
921,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
922,CORONA,Blocked Driveway,Street/Sidewalk
923,BROOKLYN,Blocked Driveway,Street/Sidewalk
926,REGO PARK,Blocked Driveway,Street/Sidewalk
927,BROOKLYN,Rodent,Other (Explain Below)
928,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
929,BROOKLYN,Noise - Commercial,Store/Commercial
930,BROOKLYN,Blocked Driveway,Street/Sidewalk
931,BROOKLYN,Noise - Commercial,Store/Commercial
932,STATEN ISLAND,PAINT/PLASTER,RESIDENTIAL BUILDING
933,STATEN ISLAND,WATER LEAK,RESIDENTIAL BUILDING
934,STATEN ISLAND,PAINT/PLASTER,RESIDENTIAL BUILDING
935,STATEN ISLAND,PAINT/PLASTER,RESIDENTIAL BUILDING
936,STATEN ISLAND,PAINT/PLASTER,RESIDENTIAL BUILDING
937,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
938,BROOKLYN,Illegal Tree Damage,Street
939,NEW YORK,Illegal Parking,Street/Sidewalk
940,NEW YORK,Street Condition,Street
943,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
944,BRONX,Rodent,1-2 Family Dwelling
946,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
947,NEW YORK,GENERAL,RESIDENTIAL BUILDING
948,NEW YORK,WATER LEAK,RESIDENTIAL BUILDING
949,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
950,BROOKLYN,Sanitation Condition,Street
951,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
952,COLLEGE POINT,Blocked Driveway,Street/Sidewalk
953,STATEN ISLAND,Illegal Parking,Street/Sidewalk
954,NEW YORK,Illegal Parking,Street/Sidewalk
955,BROOKLYN,Noise - Street/Sidewalk,Street/Sidewalk
957,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
958,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
959,Rockaway Park,HEAT/HOT WATER,RESIDENTIAL BUILDING
961,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
962,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
963,BROOKLYN,Blocked Driveway,Street/Sidewalk
964,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
965,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
970,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
971,BROOKLYN,FLOORING/STAIRS,RESIDENTIAL BUILDING
972,BROOKLYN,FLOORING/STAIRS,RESIDENTIAL BUILDING
973,BROOKLYN,FLOORING/STAIRS,RESIDENTIAL BUILDING
974,BROOKLYN,UNSANITARY CONDITION,RESIDENTIAL BUILDING
975,BROOKLYN,DOOR/WINDOW,RESIDENTIAL BUILDING
976,BROOKLYN,PAINT/PLASTER,RESIDENTIAL BUILDING
977,Corona,HEAT/HOT WATER,RESIDENTIAL BUILDING
978,BRONX,Blocked Driveway,Street/Sidewalk
979,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
980,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
981,Far Rockaway,UNSANITARY CONDITION,RESIDENTIAL BUILDING
982,Far Rockaway,UNSANITARY CONDITION,RESIDENTIAL BUILDING
