,city,complaint_type,location_type
42818,BRONX,PLUMBING,RESIDENTIAL BUILDING
42819,BRONX,Noise - Commercial,Club/Bar/Restaurant
42820,JAMAICA,Noise - Commercial,Club/Bar/Restaurant
42821,JACKSON HEIGHTS,Noise - Vehicle,Street/Sidewalk
42822,BROOKLYN,Blocked Driveway,Street/Sidewalk
42823,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42824,EAST ELMHURST,Blocked Driveway,Street/Sidewalk
42826,Jamaica,HEAT/HOT WATER,RESIDENTIAL BUILDING
42827,MASPETH,Illegal Parking,Street/Sidewalk
42829,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
42830,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
42831,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
42832,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
42833,BRONX,HEAT/HOT WATER,RESIDENTIAL BUILDING
42835,BROOKLYN,Illegal Parking,Street/Sidewalk
42836,BROOKLYN,Illegal Parking,Street/Sidewalk
42837,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
42838,BRONX,UNSANITARY CONDITION,RESIDENTIAL BUILDING
42839,BRONX,UNSANITARY CONDITION,RESIDENTIAL BUILDING
42841,NEW YORK,HEAT/HOT WATER,RESIDENTIAL BUILDING
42842,BROOKLYN,Blocked Driveway,Street/Sidewalk
42843,BROOKLYN,Sanitation Condition,Street
42844,BRONX,UNSANITARY CONDITION,RESIDENTIAL BUILDING
42845,BRONX,UNSANITARY CONDITION,RESIDENTIAL BUILDING
42846,NEW YORK,Noise - Commercial,Store/Commercial
42848,BROOKLYN,Illegal Parking,Street/Sidewalk
42849,BROOKLYN,Noise - Street/Sidewalk,Street/Sidewalk
42850,BRONX,Noise - Commercial,Club/Bar/Restaurant
42851,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
42852,BROOKLYN,Noise - Commercial,Store/Commercial
42853,BRONX,UNSANITARY CONDITION,RESIDENTIAL BUILDING
42855,BROOKLYN,Noise - Commercial,Club/Bar/Restaurant
42857,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
42859,BROOKLYN,HEAT/HOT WATER,RESIDENTIAL BUILDING
42860,BROOKLYN,Noise - Commercial,Club/Bar/Restaurant
