School Name,Street Address,City,Coordinates
Fannie Lou Hamer Freedom High School,1021 Jennings Street,Bronx,"(40.8310478, -73.88560199999999)"
Wings Academy,1122 East 180 Street,Bronx,"(40.8416248, -73.8751818)"
Monroe Academy for Visual Arts & Design,1300 Boynton Avenue,Bronx,"(40.83212779999999, -73.87772149999999)"
Dr. Susan S. McKinney Secondary School of  Arts,101 Park Avenue,Brooklyn,"(40.6967378, -73.9760388)"
Urban Assembly High School of Music and Art,49 Flatbush Avenue Extension,Brooklyn,"(40.697313, -73.9846925)"
Brooklyn Community High School of Communication Arts and Media,300 Willoughby Avenue,Brooklyn,"(40.6924651, -73.9582495)"
Science Skills Center High School for Science Technology and  Creative Arts,49 Flatbush Avenue Extension,Brooklyn,"(40.697313, -73.9846925)"
Brooklyn Technical High School,29 Ft Greene Place,Brooklyn,"(40.6888729, -73.9764096)"
Brooklyn International High School,49 Flatbush Avenue Extension,Brooklyn,"(40.697313, -73.9846925)"
 Urban Assembly School for Law and Justice,283 Adams Street,Brooklyn,"(38.6546161, -90.1675195)"
ACORN Community High School,561 Grand Avenue,Brooklyn,"(40.6785497, -73.9618773)"
Urban Assembly Institute of Math and Science for Young Women,283 Adams Street,Brooklyn,"(38.6546161, -90.1675195)"
Bedford Academy High School,1119 Bedford Avenue,Brooklyn,"(40.6854319, -73.9540245)"
George Westinghouse Career and Technical Education High School,105 Johnson Street,Brooklyn,"(40.6949227, -73.9859038)"
Benjamin Banneker Academy,71-77 Clinton Avenue,Brooklyn,"(40.6953677, -73.9688206)"
City Polytechnic High School of Engineering Architecture and Technology,105 Johnson Street,Brooklyn,"(40.6949227, -73.9859038)"
Juan Morel Campos Secondary School,215 Heyward Street,Brooklyn,"(40.7041207, -73.9533388)"
Foundations Academy,70 Tompkins Avenue,Brooklyn,"(40.6968241, -73.9473055)"
Brooklyn Latin School ,223 Graham Avenue,Brooklyn,"(40.7097993, -73.9441196)"
Green School: An Academy for Environmental Careers,223 Graham Avenue,Brooklyn,"(40.7097993, -73.9441196)"
