UNITID_P,INSTNM,BRANCH,State,Sector_desc,men_total,women_total,Total,MURD10,NEG_M10,FORCIB10,NONFOR10,ROBBE10,AGG_A10,BURGLA10,VEHIC10,ARSON10,MURD11,NEG_M11,FORCIB11,NONFOR11,ROBBE11,AGG_A11,BURGLA11,VEHIC11,ARSON11,MURD12,NEG_M12,FORCIB12,NONFOR12,ROBBE12,AGG_A12,BURGLA12,VEHIC12,ARSON12,FILTER10,FILTER11,FILTER12
132903013,University of Central Florida,UCF Leesburg,FL,"Public, 4-year or above",26781,32820,59601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
132903014,University of Central Florida,Florida Solar Energy Center,FL,"Public, 4-year or above",26781,32820,59601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
132903015,University of Central Florida,UCF Sanford/Lake Mary,FL,"Public, 4-year or above",26781,32820,59601,0,0,0,0,1,1,5,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,1,1,1
132903016,University of Central Florida,UCF Valencia Osceola,FL,"Public, 4-year or above",26781,32820,59601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
132903017,University of Central Florida,UCF Altamonte Springs,FL,"Public, 4-year or above",26781,32820,59601,,,,,,,,,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
132976001,Charlotte Technical Center,CHARLOTTE TECHNICAL CENTER,FL,"Public, 2-year",104,172,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
133021001,Chipola College,Main Campus,FL,"Public, 4-year or above",831,1413,2244,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,1,1,1
133085001,Clearwater Christian College,Main Campus,FL,"Private nonprofit, 4-year or above",253,245,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,1,1,1
133155001,Lorenzo Walker Institute of Technology,Lorenzo Walker Institute of Technology - Main Campus,FL,"Public, 2-year",271,361,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
133386001,Daytona State College,Daytona State College Daytona Beach Campus,FL,"Public, 4-year or above",6054,9130,15184,0,0,1,0,2,1,0,7,0,0,0,1,0,1,0,0,14,0,0,0,2,0,0,0,0,3,0,1,1,1
133386002,Daytona State College,New Smyrna Beach/Edgewater Campus,FL,"Public, 4-year or above",6054,9130,15184,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
